X,Y,Population,Elevation,Slope,Landcover,Riverflow,Road_dist,Cluster,M,Unnamed_ 0,Weight,clusters,layer,path,id
185013.254300000000512,8445559.559000000357628,"0",437.458007800000019,,,,,,"0","276",9.065355328544911,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"98"
184978.987300000007963,8446545.210000000894070,"0",454.553985599999976,,,,,,"0","277",9.039648873876443,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"99"
184944.727799999993294,8447530.856000000610948,"2",447.516998300000012,,,,,,"0","278",7.036676784941768,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"100"
184841.993699999991804,8450487.769999999552965,"10",432.549011199999995,,,,,,"0","279",7.092338343778584,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"101"
184807.763799999986077,8451473.399000000208616,"1",436.341003399999977,,,,,,"0","280",2.608706768338791,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"102"
184773.541399999987334,8452459.023000000044703,"2",428.933990500000050,,,,,,"0","281",6.226494851612074,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"103"
184739.326299999986077,8453444.643999999389052,"0",437.002990699999998,,,,,,"0","282",7.135912327272017,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"104"
184705.118599999987055,8454430.259999999776483,"0",461.191009500000007,,,,,,"0","283",9.074119628022007,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"105"
184670.918299999990268,8455415.872000001370907,"0",458.789001499999983,,,,,,"0","284",7.080792436178127,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"106"
184636.725500000000466,8456401.480000000447035,"0",450.268005399999993,,,,,,"0","285",7.034000243296558,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"107"
