ID,X,Y,Population,Elevation,Weight,clusters,id_2,Weight_2,ID1,ID2,line_lengt,i
"5072",222738.864000000001397,8530655.442999999970198,"3",401.305999799999995,1.000000000000000,"9","0",11915.861414574783339,"5072","5138",1015.685514481937275,"34"
"5129",224055.708899999997811,8521822.877999998629093,"7",509.661010700000020,7.163986234790702,"9","0",24037.962992006785498,"5129","5195",1015.648297040405055,"35"
"5131",223988.619100000010803,8523793.046000000089407,"9",434.046997099999999,9.139398934349707,"9","0",27354.286380559071404,"5131","5197",1015.655168744312732,"36"
"5135",223854.517499999987194,8527733.350999999791384,"0",409.822997999999984,4.166947396347155,"9","0",11437.095632419166577,"5135","5136",985.639774300630052,"37"
"5135",223854.517499999987194,8527733.350999999791384,"0",409.822997999999984,4.166947396347155,"9","0",16609.467759868992289,"5135","5200",1416.276974890116207,"38"
"5136",223821.008399999991525,8528718.421000000089407,"0",392.018005399999993,2.794849763119517,"9","0",14818.901467345800484,"5071","5136",1416.285535852703561,"39"
"5136",223821.008399999991525,8528718.421000000089407,"0",392.018005399999993,2.794849763119517,"9","0",11437.095632419166577,"5135","5136",985.639774300630052,"40"
"5138",223754.009699999995064,8530688.552999999374151,"3",414.101989699999990,6.039250238638372,"9","0",11915.861414574783339,"5072","5138",1015.685514481937275,"41"
"5194",225104.366600000008475,8520870.961000001057982,"4",471.739990200000022,9.027410551694610,"9","0",26364.057532930863090,"5194","5195",985.652193302723845,"42"
"5195",225070.815600000001723,8521856.042000001296401,"7",461.437988299999972,7.022015992664640,"9","0",24037.962992006785498,"5129","5195",1015.648297040405055,"43"
"5195",225070.815600000001723,8521856.042000001296401,"7",461.437988299999972,7.022015992664640,"9","0",26364.057532930863090,"5194","5195",985.652193302723845,"44"
"5195",225070.815600000001723,8521856.042000001296401,"7",461.437988299999972,7.022015992664640,"9","0",23105.927482291805063,"5195","5196",985.649973224472546,"45"
"5195",225070.815600000001723,8521856.042000001296401,"7",461.437988299999972,7.022015992664640,"9","0",23823.781919381395710,"5195","5261",1015.641437359114093,"46"
"5196",225037.271100000012666,8522841.120999999344349,"5",442.529998799999987,7.042198413636268,"9","0",23105.927482291805063,"5195","5196",985.649973224472546,"47"
"5196",225037.271100000012666,8522841.120999999344349,"5",442.529998799999987,7.042198413636268,"9","0",23104.745119848659670,"5196","5197",985.646753772630632,"48"
"5197",225003.733100000012200,8523826.197000000625849,"4",420.057006800000011,7.020274958450142,"9","0",27354.286380559071404,"5131","5197",1015.655168744312732,"49"
"5197",225003.733100000012200,8523826.197000000625849,"4",420.057006800000011,7.020274958450142,"9","0",23104.745119848659670,"5196","5197",985.646753772630632,"50"
"5197",225003.733100000012200,8523826.197000000625849,"4",420.057006800000011,7.020274958450142,"9","0",18903.527096295787487,"5197","5264",1414.303289767449769,"51"
"5199",224936.676500000001397,8525796.341000000014901,"0",395.299987799999997,4.888818581566563,"9","0",12744.112933740154403,"5199","5200",985.638095076581180,"52"
"5199",224936.676500000001397,8525796.341000000014901,"0",395.299987799999997,4.888818581566563,"9","0",13899.902589955741860,"5199","5264",1416.266921565300663,"53"
"5200",224903.157999999995809,8526781.408999999985099,"2",393.671997100000056,2.869832479405032,"9","0",16609.467759868992289,"5135","5200",1416.276974890116207,"54"
"5200",224903.157999999995809,8526781.408999999985099,"2",393.671997100000056,2.869832479405032,"9","0",12744.112933740154403,"5199","5200",985.638095076581180,"55"
"5261",226085.915600000007544,8521889.200999999418855,"2",443.376007099999981,7.051295831162803,"9","0",23823.781919381395710,"5195","5261",1015.641437359114093,"56"
"5264",225985.312500000000000,8524844.408999999985099,"3",412.799987799999997,1.000000000000000,"9","0",18903.527096295787487,"5197","5264",1414.303289767449769,"57"
"5264",225985.312500000000000,8524844.408999999985099,"3",412.799987799999997,1.000000000000000,"9","0",13899.902589955741860,"5199","5264",1416.266921565300663,"58"
"5403",227781.048299999994924,8531805.971000000834465,"6",358.166992199999981,7.061857995795361,"9","0",23128.795284988431376,"5403","6992",985.601446744579334,"59"
"5526",230112.721799999999348,8523006.823999999091029,"5",432.631011999999998,3.596797781234099,"9","0",25948.512893656436063,"5526","5589",1414.247365765762424,"60"
"5589",231094.275599999993574,8524024.982999999076128,"4",490.304992700000014,7.403918073881393,"9","0",25948.512893656436063,"5526","5589",1414.247365765762424,"61"
