id,X,Y,PS,Unnamed_ 0,Population,Elevation,Weight,clusters,layer,path
"123",851811.352,8512597.66,"0","1766","5",847.414001500000040,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"124",851801.6536,8513583.873,"0","1767","0",875.359985400000028,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"125",852895.1633,8505702.633,"0","1811","0",850.567993200000046,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"126",852885.5289,8506688.88,"0","1812","0",824.593017600000053,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"127",852875.8858,8507675.123,"0","1813","0",875.435974100000180,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"128",852866.2341,8508661.363,"0","1814","3",819.047973600000205,2.435378013500000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"129",852856.5737,8509647.599,"0","1815","0",938.033996600000023,3.822105340500000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"130",852846.9046,8510633.832,"0","1816","0",923.807983400000012,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"131",852837.2268,8511620.061,"0","1817","5",911.046997099999999,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"132",852827.5403,8512606.286,"0","1818","0",925.815002400000026,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"133",852817.8452,8513592.508,"0","1819","0",899.000976600000172,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"134",853901.7062,8506697.449,"0","1864","1",919.849975599999993,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"135",853892.0666,8507683.701,"0","1865","0",927.205017099999964,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"136",853882.4183,8508669.949,"0","1866","10",817.549987799999826,5.171081144500000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"137",853872.7612,8509656.194,"0","1867","0",919.418029799999999,1.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"138",853863.0954,8510642.435,"0","1868","0",973.968017600000053,3.000430085000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"139",853853.421,8511628.673,"0","1869","0",984.265991200000030,5.458548716500000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"140",853843.7378,8512614.907,"0","1870","0",980.375976599999944,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
