X,Y,Population,Elevation,Weight,clusters,PS,line_lengt,id
220742.058500000013737,8529604.122000001370907,"0",617.456970200000001,7.391823070429759,"9","0",,"116"
220708.551999999996042,8530589.207000000402331,"0",508.648986799999989,7.391207038377032,"9","0",,"117"
220675.051999999996042,8531574.289999999105930,"0",463.510009799999978,4.674107306564078,"9","0",,"118"
222159.762199999997392,8517816.107999999076128,"0",995.783996600000023,7.458278362535004,"9","0",,"119"
222126.180599999992410,8518801.218000000342727,"0",675.317993200000046,7.938421712476718,"9","0",,"120"
222092.605400000000373,8519786.324999999254942,"0",675.578002900000001,7.373866098910645,"9","0",,"121"
222059.036900000006426,8520771.428999999538064,"0",1079.719970999999987,7.381721167857712,"9","0",,"122"
222025.474900000001071,8521756.530999999493361,"0",959.918029799999999,7.880302779614992,"9","0",,"123"
221991.919400000013411,8522741.630000000819564,"0",924.018005399999993,7.382215286413679,"9","0",,"124"
221958.370400000014342,8523726.725999999791384,"0",741.655029299999796,9.227417024082476,"9","0",,"125"
221924.828000000008615,8524711.820000000298023,"0",694.442016599999988,7.243622395668937,"9","0",,"126"
221891.292199999996228,8525696.911000000312924,"0",597.380981399999882,7.436784132378832,"9","0",,"127"
221857.762900000001537,8526681.998999999836087,"0",573.742004399999814,9.280131749054650,"9","0",,"128"
221824.240300000004936,8527667.085000000894070,"0",459.596984899999995,9.413691838682221,"9","0",,"129"
221790.724099999992177,8528652.168999999761581,"4",444.002990699999998,7.063929058695314,"9","0",,"130"
221757.214500000001863,8529637.248999999836087,"0",441.058990500000050,7.108990878230133,"9","0",,"131"
221723.711400000000140,8530622.327999999746680,"0",483.343994099999975,6.709904722073215,"9","0",,"132"
221690.214999999996508,8531607.403999999165535,"3",413.208007800000019,3.007083638691286,"9","0",,"133"
223174.867700000002515,8517849.311000000685453,"0",936.353027300000008,7.654599616732161,"9","0",,"134"
223141.289900000003399,8518834.413999998942018,"0",636.487976099999969,7.233646860719489,"9","0",,"135"
223107.718499999988126,8519819.515000000596046,"0",561.146972700000106,7.169575983898929,"9","0",,"136"
223074.153599999990547,8520804.611999999731779,"0",624.916992199999981,7.480947577528242,"9","0",,"137"
223040.595299999986310,8521789.707000000402331,"0",666.614990200000193,7.149877849662428,"9","0",,"138"
223007.043499999999767,8522774.799000000581145,"0",664.060974100000180,7.055199264663699,"9","0",,"139"
222973.498200000001816,8523759.889000000432134,"0",544.638000499999976,9.131762435396020,"9","0",,"140"
222939.959399999992456,8524744.975999999791384,"0",476.980987500000026,7.091720210692307,"9","0",,"141"
222906.427200000005541,8525730.060000000521541,"0",501.360992399999986,7.179836431472259,"9","0",,"142"
222872.901500000007218,8526715.142000000923872,"0",471.540985100000000,7.196963045367704,"9","0",,"143"
222839.382299999997485,8527700.221000000834465,"0",424.614013699999987,7.069404381512680,"9","0",,"144"
222805.869700000010198,8528685.297000000253320,"0",409.437988299999972,5.365615019170166,"9","0",,"145"
222772.363600000011502,8529670.370999999344349,"6",411.049011199999995,3.483140935753654,"9","0",,"146"
222738.864000000001397,8530655.442999999970198,"3",401.305999799999995,1.000000000000000,"9","0",,"147"
222705.371000000013737,8531640.512000000104308,"0",417.531005900000025,4.612953621885012,"9","0",,"148"
224223.547099999996135,8516897.410000000149012,"0",654.203002900000001,9.472276143138792,"9","0",,"149"
224189.966400000004796,8517882.508999999612570,"0",549.018005399999993,7.206329671513266,"9","0",,"150"
224156.392300000006799,8518867.605000000447035,"0",735.729980500000011,7.164621071102680,"9","0",,"151"
224122.824699999997392,8519852.698999999091029,"0",548.026000999999951,7.446126952058003,"9","0",,"152"
224089.263500000000931,8520837.788999998942018,"0",541.984008799999970,7.352630898772733,"9","0",,"153"
224055.708899999997811,8521822.877999998629093,"7",509.661010700000020,7.163986234790702,"9","0",,"154"
224022.160700000007637,8522807.962999999523163,"0",484.106994600000064,7.359743747512783,"9","0",,"155"
223988.619100000010803,8523793.046000000089407,"9",434.046997099999999,9.139398934349707,"9","0",,"156"
223955.083899999997811,8524778.126000000163913,"0",426.333007800000019,7.117705188636268,"9","0",,"157"
223921.555300000007264,8525763.202999999746680,"0",419.683013899999935,7.051601692604033,"9","0",,"158"
223888.033100000000559,8526748.277999999001622,"0",415.196991000000025,5.452548941605418,"9","0",,"159"
223854.517499999987194,8527733.350999999791384,"0",409.822997999999984,4.166947396347155,"9","0",,"160"
223821.008399999991525,8528718.421000000089407,"0",392.018005399999993,2.794849763119517,"9","0",,"161"
223787.505700000008801,8529703.487999999895692,"0",395.191009500000007,5.099095833440300,"9","0",,"162"
223754.009699999995064,8530688.552999999374151,"3",414.101989699999990,6.039250238638372,"9","0",,"163"
